标准号,国际标准编号,采标类型
GB/T 32865-2025,,
GB/T 45605-2025,,
GB/T 45607-2025,ISO 23115:2020,等同采用
GB/T 45570-2025,,
GB/T 24217-2025,,
GB/T 45571-2025,,
GB/T 45572-2025,ISO 12256:2002,修改采用
GB/T 33840-2025,,
GB/T 29117-2025,,
GB/T 22385-2025,,
GB/T 38659.5-2025,,
GB/T 22939.5-2025,,
GB/T 22939.2-2025,,
GB/T 28199-2025,,
GB/T 9869.1-2025,ISO 6502-1:2018,等同采用
GB/T 8292-2025,ISO 506:2020,修改采用
GB/T 32105-2025,,
GB/T 18396-2025,ISO 1409:2020,修改采用
GB/T 8300-2025,ISO 125:2020,修改采用
GB/T 45596-2025,ISO 9026:2021,等同采用
GB/T 4446-2025,ISO 3730:2012,等同采用
GB/T 4447-2025,ISO 4568:2021,修改采用
GB/T 3029-2025,,
GB/T 45611-2025,,
GB/T 45610-2025,,
GB/T 45500-2025,,
GB/T 45573-2025,,
GB/T 45503-2025,,
GB/T 45504-2025,ISO/TS 23362:2021,等同采用
GB/T 26232-2025,,
GB/T 22939.1-2025,,
GB/T 32934-2025,,
GB/T 28168-2025,,
GB/T 33411-2025,,
GB/T 17216-2025,,
GB/T 8223.1-2025,,
GB/T 45523.2-2025,ISO 17874-2:2004,非等效采用
GB/T 45525.2-2025,,
GB/T 18913-2025,ISO 9876：2015,等同采用
GB/T 45523.1-2025,ISO 17874-1:2010,非等效采用
GB/T 45529-2025,,
GB/T 40425.2-2025,,
GB/T 45600-2025,,
GB/T 45612-2025,ISO 9254:1993,修改采用
GB/T 22452-2025,,
GB/T 45601-2025,,
GB/T 45614-2025,ISO 22361:2022,等同采用
GB/T 45506-2025,IEC 61788-23:2024,等同采用
GB/T 45505.4-2025,,
GB/T 12789.1-2025,IEC 60231A:1969,非等效采用
GB/T 34110-2025,ISO 30300:2020,等同采用
GB/T 13284-2025,,
GB/T 12789.3-2025,IEC 60231E:1977,非等效采用
GB/T 11730-2025,,
GB/T 45592-2025,,
GB/T 32077-2025,,
GB/T 17643-2025,,
GB/T 45629.1-2025,ISO/IEC 22237-1:2021,等同采用
GB/T 45630-2025,ISO/IEC/IEEE 42010:2022,等同采用
GB/T 25105.1-2025,IEC 61158-5-10:2023,等同采用
GB/T 45393.1-2025,,
GB/T 45615-2025,ISO/IEC/IEEE 24641:2023,等同采用
GB/T 18757-2025,ISO 15704:2019,等同采用
GB/T 14600-2025,,
GB/T 36066-2025,,
GB/T 28559-2025,,
GB/T 18867-2025,,
GB/T 6730.90-2025,,
GB/T 28634-2025,ISO 22489:2016,等同采用
GB/T 45593-2025,ISO 26424:2008,修改采用
GB/T 19396-2025,,
GB/T 23453-2025,,
GB/T 20854-2025,ISO 14993:2018,等同采用
GB/T 45393.3-2025,,
GB/T 45616.4-2025,ISO 23247-4:2021,等同采用
GB/T 28583-2025,,
GB/T 33588.4-2025,IEC 62561-4:2023,等同采用
GB/T 33588.5-2025,IEC 62561-5:2023,等同采用
GB/T 26250-2025,,
GB/T 12789.2-2025,IEC 60231D：1975,非等效采用
GB/T 45524-2025,,
GB/T 33555-2025,,
GB/T 1232.2-2025,ISO 289-2:2020,修改采用
GB/T 45595-2025,,
GB/T 4498.1-2025,ISO 247-1:2018,修改采用
GB/T 17821-2025,ISO 705:2015,修改采用
GB/T 45597-2025,,
GB/T 24129-2025,,
GB/T 17436-2025,,
GB/T 30544.3-2025,ISO/TS 80004-3:2020,修改采用
GB/T 45618-2025,,
GB/T 33588.6-2025,IEC 62561-6:2023,等同采用
GB/T 15237-2025,ISO 1087:2019,等同采用
GB/T 45545-2025,ISO 3055:2021,等同采用
GB/T 2099.31-2025,IEC 60884-3-1:2021,修改采用
GB/T 45523.4-2025,ISO 17874-4:2006,非等效采用
GB/T 18487.4-2025,,
GB/T 45531-2025,,
GB/T 45598-2025,,
GB/T 45638-2025,IEC 62090:2017,非等效采用
GB/T 45639-2025,,
GB/T 18910.64-2025,IEC 61747-30-4:2016,等同采用
GB/T 18910.103-2025,IEC 61747-5-3:2009,等同采用
GB/T 33588.3-2025,IEC 62561-3:2023,等同采用
GB/T 4214.21-2025,,
GB/T 2941-2025,ISO 23529:2016,等同采用
GB/T 45678-2025,,
GB/T 45599-2025,,
GB/T 32873-2025,,
GB/T 45532-2025,,
GB/T 7357-2025,IEC 60092-202:2016,等同采用
GB/T 30425-2025,,
GB/T 11617-2025,,
GB/T 45633-2025,,
GB/T 9981-2025,,
GB/T 45634-2025,,
GB/T 45635-2025,,
GB/T 45636-2025,,
GB/T 45631-2025,,
GB/T 45547-2025,,
GB/T 45561.2-2025,ISO 23434-2:2021,等同采用
GB/T 45562-2025,,
GB/T 45559-2025,,
GB/T 32158-2025,,
GB/T 33296-2025,,
GB/T 24212-2025,,
GB/T 4948-2025,,
GB/T 22453-2025,,
GB/T 37150-2025,,
GB/T 45608-2025,,
GB/T 11842-2025,,
GB/T 20130-2025,,
GB/T 45594-2025,,
GB/T 32223-2025,,
GB/T 3688-2025,,
GB/T 32197-2025,,
GB/T 45619-2025,,
GB/T 24931-2025,,
GB/T 45620-2025,,
GB/T 45624-2025,,
GB/T 45625-2025,,
GB/T 29479.1-2025,,
GB/T 7358-2025,IEC 60092-201:2019,等同采用
GB/T 10250-2025,IEC 60533:2015,等同采用
GB/T 6994-2025,IEC 60092-101:2018,等同采用
GB/T 45563.1-2025,,
GB/T 45632-2025,,
GB/T 15470.2-2025,IEC 60675-2:2020,等同采用
GB/T 45637-2025,IEC 63174:2021,等同采用
GB/T 15470.3-2025,IEC 60675-3:2020,等同采用
GB/T 45644-2025,ISO 13266:2022,修改采用
GB/T 45674-2025,,
GB/T 40711.5-2025,,
GB/T 45649-2025,,
GB/T 13594-2025,,
GB/T 45522-2025,,
GB/T 45564-2025,,
GB/T 45563.2-2025,,
GB/T 45563.3-2025,,
GB/T 45565-2025,,
GB/T 45567-2025,,
GB/T 45568-2025,,
GB/T 45626-2025,,
GB/T 33767.9-2025,,
GB/T 22454-2025,ISO 19440:2020,等同采用
GB/T 45526-2025,,
GB/T 43590.506-2025,IEC 62906-5-6:2020,等同采用
GB/T 43590.507-2025,IEC 62906-5-7:2022,修改采用
GB/T 45579-2025,,
GB/T 45521-2025,ISO/TS 37172:2022,等同采用
GB/T 45533-2025,,
GB/T 45569-2025,ISO 23466:2020,修改采用
GB/T 27534.4-2025,,
GB/T 27534.11-2025,,
GB/T 27534.3-2025,,
GB/T 27534.7-2025,,
GB/T 27534.6-2025,,
GB/T 27534.9-2025,,
GB/T 45628-2025,,
GB/T 45627-2025,,
GB/T 25105.2-2025,IEC 61158-6-10:2023,等同采用
GB/T 32960.3-2025,,
GB/T 40032.2-2025,,
GB/T 16263.1-2025,ISO/IEC 8825-1:2021,等同采用
GB/T 45648.2-2025,,
GB/T 45534-2025,,
GB/T 45536-2025,,
GB/T 27534.8-2025,,
GB/T 27534.10-2025,,
GB/T 27534.2-2025,,
GB/T 27534.1-2025,,
GB/T 27534.5-2025,,
GB/T 45538-2025,,
GB/T 45550-2025,,
GB/T 25105.3-2025,IEC 61784-2-3:2023,等同采用
GB/T 35609-2025,,
GB/T 45646-2025,,
GB/T 45653-2025,,
GB/T 45648.1-2025,,
GB/T 45655-2025,,
GB/T 45656-2025,,
GB/T 45652-2025,,
GB/T 27772-2025,,
GB/T 45548-2025,,
GB/T 30134-2025,,
GB/T 17642-2025,,
GB/T 45552-2025,,
GB/T 45551-2025,,
GB/T 45553-2025,,
GB/T 45555-2025,,
GB/T 45554-2025,,
GB/T 45556-2025,,
GB/T 23454-2025,,
GB/T 45519-2025,,
GB/T 45520-2025,,
GB/T 6147-2025,,
GB/T 45523.3-2025,ISO 17874-3:2011,非等效采用
GB/T 45523.5-2025,ISO 17874-5:2007,非等效采用
GB/T 45525.1-2025,,
GB/T 45654-2025,,
GB/T 45650-2025,,
GB/T 35604-2025,,
GB/T 45513-2025,,
GB/T 45512-2025,,
GB/T 45514-2025,,
GB/T 45515-2025,,
GB/T 45516-2025,,
GB/T 38405.2-2025,ISO 18219-2:2021,修改采用
GB/T 6730.24-2025,,
GB/T 17670-2025,,
GB/T 21307-2025,,
GB/T 19277.1-2025,ISO 14855-1:2012,等同采用
GB/T 44985.2-2025,,
GB/T 45527-2025,,
GB/T 45528-2025,,
GB/T 45530-2025,,
GB/T 43529.8-2025,IEC 62656-8:2020,等同采用
GB/T 45647-2025,,
